bullet for my valentine	ORG:1
bullets	ORG:1
bundesbank	ORG:1
buongiorno	PREFIX:1
buongiorno vitaminic	ORG:1
burda	ORG:1
burdines	ORG:1
burger	PREFIX:1
burger king	ORG:1
burlon	ORG:1
burmah	ORG:1
burnet	ORG:1
burr	PREFIX:1
burr -	PREFIX:1
burr - brown	ORG:1
burroughs	ORG:1
bussola	ORG:1
busted	ORG:1
butcher	PREFIX:1
butcher mind	PREFIX:1
butcher mind collapse	ORG:1
buzz	PREFIX:1
buzz it	ORG:1
buzzcocks	ORG:1
buzzi	ORG:1	PREFIX:2
buzzi unicem	ORG:2
c.a.l.p.	ORG:1
c.c	NIL:1
c.d.u.	ORG:1
c.e.l.i.	ORG:1
c.e.m.e.a.	ORG:1
c.i.r.	ORG:1
c.r.a	ORG:1
c.r.a.d.	ORG:1
c.r.i.	ORG:1
c.r.t	ORG:1
c.s.p.a.	ORG:1
c.t.a.	ORG:1
c.u.s	TSO:1
c1	ORG:1
c2	ORG:1
caaf	ORG:1
cab	NIL:1
cabot	ORG:1	PREFIX:2
cabot italiana	ORG:2
cad	PREFIX:3
cad cairo	ORG:1
cad it	ORG:1
cad it.	ORG:1
cadaveria	ORG:1
cadillac	ORG:1
caf	ORG:1
caffaro	PREFIX:1
caffaro energia	ORG:1
caffè	TSO:1	PREFIX:1
caffè mozart	ORG:1
cagiva	ORG:1
cahners	ORG:1
cai	ORG:1
cairo	ORG:1	PREFIX:3
cairo communication	ORG:1
cairo editore	ORG:1
cairo editori	ORG:1
cairocommunication	ORG:1
calabruzi	ORG:1
calcestruzzi	TSO:1
calcio	TSO:1
calderari	ORG:1
caleffi	ORG:1
caleppiovinil	ORG:1
califfo	PREFIX:1
califfo de	PREFIX:1
califfo de luxe	ORG:1
calliope	ORG:1
caltagirone	ORG:2	PREFIX:1
caltagirone editore	ORG:1
calzaturificio	TSO:1
calze	PREFIX:1
calze malerba	ORG:1
camaleonti	ORG:1
camera	ORG:1	PREFIX:2
camera dei	PREFIX:1
camera dei deputati	ORG:1
camera di	PREFIX:1
camera di commercio	ORG:1
camfin	ORG:1
camorra	ORG:1
campari	ORG:1
campeau	ORG:1
campionato	TSO:1
canadian	PREFIX:1
canadian airlines	PREFIX:1
canadian airlines international	ORG:1
canadiens	ORG:1
candies	ORG:1
candy	ORG:1
canfor	ORG:1
canoa	TSO:1
canon	ORG:1	PREFIX:1
canon italia	ORG:1
canzoniere	PREFIX:1
canzoniere delle	PREFIX:1
canzoniere delle lame	ORG:1
capitalia	ORG:1
capomonster	ORG:1
capsicum	PREFIX:1
capsicum red	ORG:1
carbide	ORG:1
carcass	ORG:1
cardi	ORG:1
cardiologia	ORG:1
cardnet	ORG:1
carena	ORG:1
carifac	ORG:1
carige	ORG:1
cariparma	ORG:1
cariplo	ORG:1
carismas	ORG:1
carispa	ORG:1
caritas	ORG:1
cariverona	PREFIX:1
cariverona banca	ORG:1
carmen	PREFIX:1
carmen show	ORG:1
carmignano	ORG:1
carnica	ORG:1
carolco	ORG:1
carolco.	ORG:1
carpet	PREFIX:1
carpet backing	ORG:1
carpisa	ORG:1	PREFIX:1
carpisa napoli	ORG:1
carrefour	ORG:1
carrera	ORG:1
carrian	ORG:1
carroccio	ORG:1
carrozzeria	TSO:1
carta	NIL:1
carter	PREFIX:1
carter -	PREFIX:1
carter - wallace	ORG:1
cartiera	TSO:1	PREFIX:1
cartiera carmignano	ORG:1
cartiere	TEO:1	TSO:1
cartoleria	TSO:1
cartolerie	TSO:1
cartolibreria	ORG:1
cartotecnica	ORG:1
casa	PREFIX:1
casa girelli	ORG:1
cascades	ORG:1
casearia	PREFIX:1
casearia monti	PREFIX:1
casearia monti trentini	ORG:1
caseificio	ORG:1	TSO:1	PREFIX:3
caseificio sociale	ORG:1	TSO:1	PREFIX:1
caseificio sociale val	PREFIX:1
caseificio sociale val di	PREFIX:1
caseificio sociale val di fiemme	ORG:1
casillo	ORG:1
casino	PREFIX:1
casino royale	ORG:1
casio	ORG:1
cassa	PREFIX:2
cassa di	PREFIX:1
cassa di risparmio	TSO:1
cassa rurale	TSO:1
cassazione	ORG:1
casse	TSO:1	PREFIX:2
casse di	PREFIX:1
casse di risparmio	ORG:1
casse rurali	ORG:1
castrol	ORG:1
catapilla	ORG:1
catarrhal	PREFIX:1
catarrhal noise	ORG:1
caterpillar	ORG:1
cathay	ORG:1
catherine	PREFIX:1
catherine wheel	ORG:1
catic	ORG:1
catoleum	ORG:1
cattivi	PREFIX:1
cattivi pensieri	ORG:1
cattoi	PREFIX:1
cattoi legno	ORG:1
cattolica	PREFIX:1
cattolica assicurazioni	ORG:1
catullo	ORG:1
cavit	ORG:1
cba	ORG:1
cbenes	ORG:1
cbs	ORG:1
cc	NIL:1
ccc	ORG:1
cccp	ORG:1
ccd	ORG:1
cci	ORG:1
cd	NIL:1
cda	ORG:1
cdb	ORG:1	PREFIX:2
cdb web	ORG:1	PREFIX:1
cdb web tech	ORG:1
cdc	ORG:1	PREFIX:1
cdc point	ORG:1
cdl	ORG:1
cdm	ORG:1
cdp	ORG:1
cdr	ORG:1
cdu	ORG:1
cedam	ORG:1
cedas	ORG:1
cederna	PREFIX:1
cederna fodere	ORG:1
cee	ORG:1
cefsa	ORG:1
ceii	ORG:1
cell	PREFIX:1
cell therapeutics	ORG:1
celta	PREFIX:1
celta vigo	ORG:1
celtic	PREFIX:1
celtic glasgow	ORG:1
cementerie	ORG:1
cementir	ORG:1	PREFIX:1
cementir cementerie	ORG:1
cemin	PREFIX:1
cemin legnami	PREFIX:1
cemin legnami primiero	ORG:1
cenibra	ORG:1
censis	ORG:1
centel	ORG:1
centostazioni	ORG:1
central	PREFIX:1
central park	ORG:1
centrale	PREFIX:3
centrale del	PREFIX:2
centrale del latte	ORG:1	PREFIX:1
centrale del latte trento	ORG:1
centrale finanziaria	PREFIX:1
centrale finanziaria del	PREFIX:1
centrale finanziaria del nord	PREFIX:1
centrale finanziaria del nord est	ORG:1
centro	TSO:1	PREFIX:12
centro cristiano	PREFIX:1
centro cristiano democratico	ORG:1
centro destra	ORG:1
centro di	PREFIX:1
centro di ricerca	ORG:1
centro pensioni	PREFIX:1
centro pensioni complementari	PREFIX:1
centro pensioni complementari regionali	ORG:1
centro per	PREFIX:1
centro per l'	PREFIX:1
centro per l' impiego	ORG:1
centro ricerche	PREFIX:1
centro ricerche fiat	ORG:1
centro sinistra	ORG:1
centro tecnofin	ORG:1	PREFIX:1
centro tecnofin servizi	ORG:1
centro unico	PREFIX:1
centro unico di	PREFIX:1
centro unico di prenotazione	ORG:1
centro universitario	TSO:1
centro vacanze	PREFIX:1
centro vacanze veronza	ORG:1
centrum	PREFIX:1
centrum pensplan	ORG:1
centunion	ORG:1
centurion	ORG:1
cep	ORG:1
ceramica	PREFIX:1
ceramica valverde	ORG:1
ceramiche	PREFIX:1
ceramiche ricchetti	ORG:1
cesarini	PREFIX:1
cesarini sforza	ORG:1
cesi	ORG:1
cessna	ORG:1
cfp	PREFIX:1
cfp -	PREFIX:1
cfp - total	ORG:1
cgil	ORG:1	PREFIX:1
cgil fp	ORG:1
cgl	ORG:1
chain	PREFIX:1
chain reaction	ORG:1
challenge	PREFIX:1
challenge +	PREFIX:1
challenge + 39	ORG:1
challenge+39	ORG:1
champion	ORG:1
champions	ORG:1	PREFIX:2
champions -	PREFIX:1
champions - league	ORG:1
champions league	ORG:1
chantal	PREFIX:1
chantal thomass	ORG:1
charged	PREFIX:1
charged gbh	ORG:1
charitas	ORG:1
charlton	ORG:1
charmant	ORG:1
checkers	ORG:1
chelsea	ORG:1
chernomoretz	PREFIX:1
chernomoretz odessa	ORG:1
chesterfield	ORG:1
chevrolet	ORG:1
chevron	ORG:1
chief	PREFIX:1
chief &	PREFIX:1
chief & soci	ORG:1
chiesi	PREFIX:1
chiesi farmaceutici	ORG:1
china	PREFIX:3
china -	PREFIX:1
china - team	ORG:1
china crisis	ORG:1
china team	ORG:1
chinasky	ORG:1
chini	ORG:1	PREFIX:1
chini costruzioni	ORG:1
chiyoda	ORG:1
chl	ORG:1
chori	ORG:1
chromosomes	ORG:1
chrysler	ORG:1
chugai	ORG:1
chujitsuya	ORG:1
chumbawamba	ORG:1
chunghwa	ORG:1
chunghwaak	ORG:1
cia	ORG:1
ciampac	ORG:1
ciaspegada	ORG:1
ciaspolada	ORG:1
ciba	PREFIX:2
ciba -	PREFIX:2
ciba - geigy	ORG:1
ciba - vision	ORG:1
cibavision	ORG:1
ciccolella	ORG:1
cicli	TSO:1
cicloamatori	ORG:1
cid	ORG:1
cide	ORG:1
cifrem	ORG:1
cigatam	ORG:1
cigil	ORG:1
cigl	ORG:1
cimo	ORG:1
cimone	PREFIX:1
cimone modena	ORG:1
cin	NIL:1
cinema	TSO:1
cip	ORG:1
cipe	ORG:1
ciputra	ORG:1
cir	ORG:1
cirio	ORG:1	PREFIX:1
cirio finanziaria	ORG:1
cirm	ORG:1
cis	ORG:2
cisal	ORG:1
cisas	ORG:1
cisem	ORG:1
cisi	ORG:1
cisl	ORG:1	PREFIX:1
cisl ps	ORG:1
cisnal	ORG:1
citibanb	ORG:1
citibank	ORG:1
citicorp	ORG:1
citicorp.	ORG:1
citizen	PREFIX:1
citizen fish	ORG:1
citroen	ORG:1	PREFIX:9
citroen ax	NIL:1
citroen c2	NIL:1
citroen c3	NIL:1
citroen cx	NIL:1
citroen saxo	NIL:1
citroen xantia	NIL:1
citroen xm	NIL:1
citroen xsara	NIL:1
citroen zx	NIL:1
citroën	PREFIX:6
citroën c2	NIL:1
citroën c3	NIL:1
citroën saxo	NIL:1
citroën xm	NIL:1
citroën xsara	NIL:1
citroën zx	NIL:1
cittadinanzattiva	ORG:1
claiborne	ORG:1
clam	ORG:1
clarion	ORG:1
class	ORG:1	PREFIX:1
class editori	ORG:1
claudio	PREFIX:1
claudio lancinhouse	ORG:1
clesid	ORG:1
cliffs	ORG:1
climamio	ORG:1	PREFIX:1
climamio bologna	ORG:1
clinica	TSO:1
clm	ORG:1
cln	ORG:1
club	TSO:1	PREFIX:1
club dogo	ORG:1
cm	ORG:1
cmb	ORG:1
cmc	ORG:1
cmf	ORG:1
cmi	ORG:1
cmp	ORG:1
cmr	ORG:1
cms	ORG:1
cmv	ORG:1
cnaic	ORG:1
cnb	ORG:1
cnbc	ORG:1
cnca	ORG:1
cncdc	ORG:1
cncpt	ORG:1
cnd	ORG:1
cngei	ORG:1
cnhtc	ORG:1
cnipa	ORG:1
cnn	ORG:1
cnr	ORG:1
co'	PREFIX:1
co' sang	ORG:1
co.	TSO:1
coalport	ORG:1
coastal	ORG:1
coats	PREFIX:1
coats cucirini	ORG:1
cobas	ORG:1
coca	PREFIX:2
coca -	PREFIX:1
coca - cola	ORG:1
coca cola	ORG:1
cocacola	ORG:1
cock	PREFIX:1
cock sparrer	ORG:1
cockney	PREFIX:1
cockney rejects	ORG:1
codacons	ORG:1
codelfa	ORG:1
codes	ORG:1
codess	ORG:1
codyeco	ORG:1	PREFIX:1
codyeco s.croce	ORG:1
coestra	ORG:1
cofacet	PREFIX:1
cofacet trac	ORG:1
cofas	ORG:1
cofav	ORG:1
coffee	PREFIX:1
coffee mug	ORG:1
cofide	ORG:1
cofidis	ORG:1
cofim	ORG:1
coger	ORG:1
coges	ORG:1
coil	ORG:1
coin	ORG:1
coisp	ORG:1
coldiretti	ORG:1
coldplay	ORG:1
colgate	ORG:1	PREFIX:1
colgate -	PREFIX:1
colgate - palmolive	ORG:1
collage	ORG:1
collagen	ORG:1
college	TEO:1
collegio	TSO:1
colmar	ORG:1
colnago	ORG:1
colonna	PREFIX:1
colonna infame	PREFIX:1
colonna infame skinhead	ORG:1
colosseum	ORG:1	PREFIX:1
colosseum ii	ORG:1
comair	ORG:1
comalco	ORG:1
comalco.	ORG:1
combellga	ORG:1
combipel	ORG:1
comedy	PREFIX:1
comedy central	ORG:1
comincom	ORG:1
comitato	TSO:1
commerciale	PREFIX:1
commerciale italiana	ORG:1
commissariato	PREFIX:1
commissariato del	PREFIX:1
commissariato del governo	ORG:1
commissione	TSO:1	PREFIX:2
commissione regionale	ORG:1
commissione tributaria	ORG:1
commodore	ORG:1
compagnia	TSO:1	PREFIX:2
compagnia di	PREFIX:1
compagnia di sviluppo	ORG:1
compagnia immobiliare	PREFIX:1
compagnia immobiliare azionaria	ORG:1
compagnie	PREFIX:1
compagnie industriali	PREFIX:1
compagnie industriali riunite	ORG:1
compuserve	ORG:1
comtrain	ORG:1
comunication	ORG:1	TEO:1	PREFIX:1
comunication team	ORG:1
comunisti	ORG:1	PREFIX:2
comunisti italiani	ORG:1
comunisti unitari	ORG:1
comunità	TSO:1
conagra	ORG:1
concido	ORG:1
concilio	PREFIX:1
concilio vini	ORG:1
condominio	NIL:1
condor	ORG:1
conductus	ORG:1
conf	PREFIX:1
conf -	PREFIX:1
conf - sal	ORG:1
confartigianato	ORG:1
confcommercio	ORG:1
confederazione	ORG:1	TSO:1
conferenza	TSO:1
confesercenti	ORG:1
confidi	ORG:1
confindustria	ORG:1
confraternita	TSO:1
confservizi	ORG:1
confusional	PREFIX:1
confusional quartet	ORG:1
congregazione	TSO:1
coni	ORG:1
conrail	ORG:1
consap	ORG:1
consat	ORG:1
conservatorio	TSO:1
conserve	PREFIX:1
conserve italia	ORG:1
consiglio	TSO:1	PREFIX:7
consiglio amministrativo	ORG:1
consiglio circoscrizionale	ORG:1
consiglio comunale	ORG:1
consiglio di	PREFIX:1
consiglio di amministrazione	ORG:1
consiglio nazionale	PREFIX:1
consiglio nazionale delle	PREFIX:1
consiglio nazionale delle ricerche	ORG:1
consiglio provinciale	ORG:1
consiglio regionale	ORG:1
consip	ORG:1
consob	ORG:1
consortium	TEO:1
conspiracy	ORG:1
consult	TEO:1
consultant	TSO:1
consulting	TEO:1
continental	ORG:1	PREFIX:1
continental airlines	ORG:1
continuo	PREFIX:1
continuo rilasso	ORG:1
contrin	ORG:1
contro	PREFIX:1
contro senso	ORG:1
conus	ORG:1
convesco	ORG:1
coop.va	TSO:1
coop.ve	TSO:1
cooperativa	TSO:1
cooperative	PREFIX:1
cooperative rosse	ORG:1
coors	ORG:1
coperative	PREFIX:1
coperative rosse	ORG:1
cor	PREFIX:1
cor veleno	ORG:1
coradai	ORG:1
cordenons	ORG:1
corecom	ORG:1
coredo	ORG:1
corerat	ORG:1
corning	ORG:1
coro	TSO:1
corona	PREFIX:1
corona calcestruzzi	ORG:1
corpo	TSO:1
corporation	TEO:1
corriere	PREFIX:3
corriere della	PREFIX:1
corriere della sera	ORG:1
corriere dello	PREFIX:2
corriere dello sport	PREFIX:2
corriere dello sport sradio	ORG:1
corriere dello sport stadio	ORG:1
corte	TSO:1	PREFIX:6
corte d'	PREFIX:2
corte d' appello	ORG:1
corte d' assise	ORG:1
corte dei	PREFIX:2
corte dei conti	ORG:1
corte dei miracoli	ORG:1
corte di	PREFIX:1
corte di cassazione	ORG:1
corte federale	ORG:1
coryo	ORG:1
cosa	PREFIX:1
cosa nostra	ORG:1
cosbau	ORG:1
cosmogas	ORG:1
cossi	PREFIX:1
cossi costruzioni	ORG:1
costa	PREFIX:1
costa crociere	ORG:1
costerplast	ORG:1
costruzioni	TSO:1	PREFIX:4
costruzioni grassi	ORG:1
costruzioni grosselli	ORG:1
costruzioni paisoli	ORG:1
costruzioni sacramati	ORG:1
cotonificio	TSO:1
courage	ORG:1
courier	ORG:1
cousteau	ORG:1
cpm	ORG:1
cpn	ORG:1
cpt	ORG:1
cr	ORG:1	PREFIX:1
cr firenze	ORG:1
cra	ORG:1
crad	ORG:1
cradle	PREFIX:1
cradle of	PREFIX:1
cradle of filth	ORG:1
crai	ORG:1
cral	ORG:1
cranberries	ORG:1
crange	ORG:1
crash	PREFIX:1
crash box	ORG:1
crass	ORG:1
crazy	PREFIX:1
crazy world	ORG:1
crcs	ORG:1
cream	ORG:1
credem	ORG:1
credito	TSO:1	PREFIX:1
credito veronese	ORG:1
cremogen	ORG:1
cremonini	ORG:1
crespi	ORG:1
cressida	ORG:1
cri	ORG:1
cricca	PREFIX:1
cricca dei	PREFIX:1
cricca dei balordi	ORG:1
crif	ORG:1
crimson	ORG:1
cripple	PREFIX:1
cripple bastards	ORG:1
cristalleria	PREFIX:1
cristalleria artistica	ORG:1
cristiani	PREFIX:2
cristiani democratici	ORG:1	PREFIX:1
cristiani democratici uniti	ORG:1
crm	ORG:1
crmi	ORG:1
croce	PREFIX:2
croce rossa	ORG:1	PREFIX:1
croce rossa croce	ORG:1
crossair	ORG:1
crown	ORG:1
crt	ORG:1
crummy	PREFIX:1
crummy stuff	ORG:1
cs	TSO:1
csa	ORG:1	PREFIX:1
csa -	PREFIX:1
csa - cisal	ORG:1
csc	ORG:1
csen	ORG:1
csfb	ORG:1
cshs	ORG:1
csi	ORG:1
cska	ORG:1	PREFIX:2
cska mosca	ORG:1
cska sofia	ORG:1
csm	ORG:1
csoa	ORG:1
csp	ORG:1	PREFIX:2
csp international	ORG:1
csp nova	ORG:1
cspa	ORG:1
cst	ORG:1
csu	ORG:1
csv	ORG:1
cta	ORG:1
cte	TSO:1
cti	ORG:1
cto	ORG:1
ctt	ORG:1
cub	ORG:1	PREFIX:1
cub -	PREFIX:1
cub - scuola	ORG:1
cuba	PREFIX:1
cuba libre	NIL:1
cud	NIL:1
cudam	ORG:1
cugini	PREFIX:1
cugini di	PREFIX:1
cugini di campagna	ORG:1
cullum	ORG:1
culture	PREFIX:1
culture club	ORG:1
culver	PREFIX:1
culver franchising	PREFIX:1
culver franchising system	ORG:1
cumi	ORG:1
cummins	ORG:1
curee	ORG:1
cus	TSO:1
cvrd	ORG:1
cyanco	ORG:1
cyanco.	ORG:1
cycling	TSO:1
cyclo	TSO:1
cydonia	ORG:1
cypress	ORG:1
czech	PREFIX:1
czech airlines	ORG:1
càvit	ORG:1
dada	ORG:1
daedalus	ORG:1
daewoo	ORG:1
daf	ORG:1
daft	PREFIX:1
daft punk	ORG:1
dagh	ORG:1
daicel	ORG:1
daihatsu	ORG:1
daily	ORG:1	PREFIX:1
daily mirror	ORG:1
daimler	ORG:1	PREFIX:3
daimler -	PREFIX:2
daimler - benz	ORG:1
daimler - chrysler	ORG:1
daimler chrysler	ORG:1
daimlerchrysler	ORG:1
daishinku	ORG:1
daiwa	ORG:1	PREFIX:1
daiwa -	PREFIX:1
daiwa - mkb	ORG:1
dakar	ORG:1
dal	PREFIX:1
dal negro	ORG:1
dalle	PREFIX:3
dalle carbonare	ORG:2
dalle nogare	ORG:1
dalmec	ORG:1
dalmine	ORG:1
dana	PREFIX:1
dana italia	ORG:1
danaher	ORG:1
daniel	PREFIX:1
daniel sentacruz	PREFIX:1
daniel sentacruz ensemble	ORG:1
darchin	ORG:1
dark	PREFIX:1
dark lunacy	ORG:1
darkness	ORG:1
darpa	ORG:1
dartmoor	ORG:1
data	PREFIX:1
data service	ORG:1
datacube	ORG:1
datakill	ORG:1
datalogic	ORG:1
datamat	ORG:1
datura	ORG:1
davide	PREFIX:1
davide campari	ORG:1
davis	ORG:1
day	PREFIX:1
day hospital	NIL:1
dc	ORG:1
ddl	NIL:1
ddp	ORG:1
de	PREFIX:5
de crew	ORG:1
de de	PREFIX:1
de de lind	ORG:1
de longhi	ORG:1
de manincor	ORG:1
de tomaso	ORG:1
de'	PREFIX:1
de' longhi	ORG:1
dead	PREFIX:1
dead can	PREFIX:1
dead can dance	ORG:1
deasonika	ORG:1
debartolo	ORG:1
dedalum	PREFIX:1
dedalum taete	ORG:1
dedalus	ORG:1
dedratz	ORG:1
deep	PREFIX:1
deep purple	ORG:1
deere	ORG:1
def	PREFIX:1
def leppard	ORG:1
deftones	ORG:1
degremont	PREFIX:1
degremont italia	ORG:1
degussa	ORG:1
delco	ORG:1
delegazione	TSO:1
delirium	ORG:1
delisa	ORG:1
dell	ORG:1
dellagiacoma	ORG:1
delonghi	ORG:1
delphi	ORG:1
delta	ORG:1	PREFIX:4
delta air	PREFIX:1
delta air lines	ORG:1
delta informatica	ORG:2
delta v	ORG:1
deltadator	ORG:1
deluxe	ORG:1
democratica	PREFIX:1
democratica di	PREFIX:1
democratica di centro	ORG:1
democratici	PREFIX:1
democratici di	PREFIX:1
democratici di sinistra	ORG:1
democrazia	PREFIX:1
democrazia cristiana	ORG:1
denovo	ORG:1
dentsu	ORG:1
depeche	PREFIX:1
depeche mode	ORG:1
derozer	ORG:1
derry	PREFIX:1
derry city	ORG:1
dersut	ORG:1
dervit	ORG:1
desafio	ORG:1	PREFIX:1
desafio espanol	ORG:1
desafío	ORG:1	PREFIX:2
desafío español	ORG:1	PREFIX:1
desafío español 2007	ORG:1
desaru	ORG:1
despar	ORG:1	PREFIX:1
despar gorizia	ORG:1
desperado	ORG:1
deutsche	PREFIX:5
deutsche -	PREFIX:2
deutsche - bank	ORG:1
deutsche - telekom	ORG:1
deutsche ba	ORG:1
deutsche bank	ORG:1
deutsche telekom	ORG:1
devil	PREFIX:1
devil doll	ORG:1
dexter	ORG:1
dgba	ORG:1
dgbap	ORG:1
dgm	ORG:1
dhamm	ORG:1
dhl	ORG:1
dia	ORG:1
diafoil	ORG:1
dial	ORG:2
diamond	PREFIX:2
diamond -	PREFIX:1
diamond - star	ORG:1
diamond head	ORG:1
diatec	ORG:2	PREFIX:2
diatec cles	ORG:1
diatec holding	ORG:1
diatex	ORG:2
dic	ORG:1
diebold	ORG:1
diessegi	ORG:1
digicast	ORG:1
digital	PREFIX:4
digital bros	ORG:1
digital bros.	ORG:1
digital multimedia	ORG:1	PREFIX:1
digital multimedia technologies	ORG:1
digitale	PREFIX:1
digitale terrestre	NIL:1
digos	ORG:1
dik	PREFIX:1
dik dik	ORG:1
dinamo	PREFIX:2
dinamo bucarest	ORG:1
dinamo zagabria	ORG:1
dingo	ORG:1
diorrhea	ORG:1
dipartimento	TSO:1
dire	PREFIX:1
dire straits	ORG:1
direzione	TSO:1
dirotta	PREFIX:1
dirotta su	PREFIX:1
dirotta su cuba	ORG:1
dirsb	ORG:1
dirty	PREFIX:2
dirty dixx	ORG:1
dirty pretty	PREFIX:1
dirty pretty things	ORG:1
disarmonia	PREFIX:1
disarmonia mundi	ORG:1
disciplinare	ORG:1
disciplinatha	ORG:1
disco	TSO:1	PREFIX:3
disco -	PREFIX:1
disco - pub	TSO:1
disco drive	ORG:1
disco pub	TSO:1
discorevolver	ORG:1
discovery	PREFIX:1
discovery enterprise	ORG:1
disetronic	ORG:1
disney	ORG:1	PREFIX:1
disney channel	ORG:1
ditta	TSO:1
diva	PREFIX:1
diva futura	ORG:1
divisione	TSO:1
dj	PREFIX:1
dj war	ORG:1
dlh	PREFIX:1
dlh posse	ORG:1
dmail	ORG:1	PREFIX:1
dmail group	ORG:1
dmt	ORG:1
do.it	ORG:1
doc	NIL:1
doctor	PREFIX:1
doctor jazz's	PREFIX:1
doctor jazz's universal	PREFIX:1
doctor jazz's universal remedy	ORG:1
dodge	ORG:1
dodi	PREFIX:1
dodi &	PREFIX:1
dodi & i	PREFIX:1
dodi & i monodi	ORG:1
dodskammer	ORG:1
dofasco	ORG:1
dofasco.	ORG:1
dogs	PREFIX:1
dogs d'amour	ORG:1
dolomiten	ORG:1
dolomiti	PREFIX:2
dolomiti energia	ORG:1
dolomiti meteo	ORG:1
dolomitica	ORG:1
domine	ORG:1
dominion	ORG:1
domtar	ORG:1
donohue	ORG:1
doomsword	ORG:1
doors	ORG:1
doppio	PREFIX:1
doppio quintetto	PREFIX:1
doppio quintetto vocale	ORG:1
doria	ORG:1
dorigoni	ORG:1
dos	PREFIX:1
dos de	PREFIX:1
dos de picos	ORG:1
doskocil	ORG:1
double	PREFIX:1
double dee	ORG:1
dow	ORG:1
doxa	ORG:1
dpr	NIL:1
dragonforce	ORG:1
draugr	PREFIX:1
draugr band	ORG:1
dreamworks	ORG:1	PREFIX:1
dreamworks skg	ORG:1
dresser	ORG:1	PREFIX:1
dresser -	PREFIX:1
dresser - rand	ORG:1
drunken	PREFIX:1
drunken butterfly	ORG:1
ds	ORG:1
dsm	ORG:1
ducati	PREFIX:2
ducati motor	ORG:1	PREFIX:1
ducati motor holding	ORG:1
dunhill	ORG:1
dunlop	ORG:1
duo	PREFIX:2
duo alterno	ORG:1
duo fasano	ORG:1
dupont	ORG:1
duran	PREFIX:1
duran duran	ORG:1
dvd	NIL:1	PREFIX:2
dvd -	PREFIX:1
dvd - rom	NIL:1
dvd rom	NIL:1
dvix	NIL:1
dwg	ORG:1
dwl	ORG:1
dynaire	ORG:1
dynamo	PREFIX:1
dynamo kiev	ORG:1
d´	PREFIX:1
d´ aste	ORG:1
e	PREFIX:4
e -	PREFIX:4
e - biscom	ORG:1
e - pdci	ORG:1
e - solutions	ORG:1
e - systems	ORG:1
e.biscom	ORG:1
eagle	ORG:1	PREFIX:1
eagle pictures	ORG:1
earthwinds	ORG:1
eastman	ORG:1
eastpak	ORG:1
eater	ORG:1
eaton	ORG:1
ebara	PREFIX:1
ebara pumps	PREFIX:1
ebara pumps europe	ORG:1
ebf	ORG:1
ec	ORG:1
echlin	ORG:1
echo	PREFIX:1
echo &	PREFIX:1
echo & the	PREFIX:1
echo & the bunnymen	ORG:1
eco	PREFIX:1
eco di	PREFIX:1
eco di bergamo	ORG:1
ecolag	ORG:1
ecomuseo	TSO:1
ecoplast	ORG:1
ecoradio	ORG:1
ecotermica	ORG:1	PREFIX:1
ecotermica san	PREFIX:1
ecotermica san martino	ORG:1
ect	ORG:1
ecureil	ORG:1
ecureuil	ORG:1
edf	ORG:1
edil	TSO:1
edilbaldo	ORG:1
edilbattisti	ORG:1
edilbeton	ORG:1	PREFIX:1
edilbeton trento	ORG:1
edilbren	ORG:1
edilcomm	ORG:1
edilegno	ORG:1
edilesse	ORG:1	PREFIX:2
edilesse cavriago	ORG:1	PREFIX:1
edilesse cavriago s.e.c.	ORG:1
edilia	ORG:1
edilmac	ORG:1
edilmat	ORG:1
edilmec	ORG:1
edilnova	ORG:1
edilpavimentazioni	ORG:1
edilscavi	ORG:1
ediltione	ORG:1
edilvanzo	ORG:1
edison	ORG:2	PREFIX:1
edison rete	ORG:1
editoriale	PREFIX:1
editoriale l´	PREFIX:1
editoriale l´ espresso	ORG:1
edizioni	TSO:1
eec	ORG:1
eems	ORG:1
eeroporto	ORG:1
effe	ORG:1
effjohn	ORG:1
effoa	ORG:1
effrem	ORG:1
efibanca	ORG:1
efisa	ORG:1
eg&g	ORG:1
egmont	PREFIX:1
egmont soa	ORG:1
eiar	ORG:1
eiffel	PREFIX:1
eiffel 65	ORG:1
eintracht	ORG:1	PREFIX:1
eintracht francoforte	ORG:1
eire	PREFIX:1
eire nua	ORG:1
ejip	ORG:1
ejv	ORG:1
el	PREFIX:1
el mundo	ORG:1
el.en.	ORG:1
elasis	ORG:1
elastogran	ORG:1
elaz	ORG:1
elders	ORG:1
eldo	PREFIX:1
eldo napoli	ORG:1
eldritch	ORG:1
eleca	ORG:1
electric	PREFIX:2
electric light	PREFIX:1
electric light orchestra	ORG:1
electric wizard	ORG:1
electro	TSO:1
electrolux	ORG:1
elettro	PREFIX:1
elettro casa	ORG:1
elettrocasa	ORG:1
elettrojoyce	ORG:1
elettronica	TSO:1
elettronoir	ORG:1
elettrorava	ORG:1
elettrotecnica	TSO:1
elio	PREFIX:1
elio e	PREFIX:1
elio e le	PREFIX:1
elio e le storie	PREFIX:1
elio e le storie tese	ORG:1
elion	ORG:1
elsag	ORG:1
elscint	ORG:1
elxsi	ORG:1
emak	ORG:1
emcore	ORG:1
emergency	ORG:1
emerson	PREFIX:1
emerson lake	PREFIX:1
emerson lake and	PREFIX:1
emerson lake and palmer	ORG:1
eminflex	ORG:1
emini	PREFIX:1
emini costruzioni	ORG:1
emirates	PREFIX:2
